"Action","Action"
"Add Document Request","Add Document Request"
"An error occurred while updating the document requests.","An error occurred while updating the document requests."
"Are you sure?","Are you sure?"
"CSV","CSV"
"Change status","Change status"
"Could not find document request to delete.","Could not find document request to delete."
"Created at","Created at"
"Delete Document Request","Delete Document Request"
"Delete","Delete"
"Disabled","Disabled"
"Document Request was saved","Document Request was saved"
"Document Request was successfully deleted.","Document Request was successfully deleted."
"Document Request was successfully saved","Document Request was successfully saved"
"Document Request","Document Request"
"Document Requests","Document Requests"
"Edit Document Request '%s'","Edit Document Request '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Error saving document request","Error saving document request"
"Excel","Excel"
"Home","Home"
"Id","Id"
"No","No"
"None","None"
"Please select document requests to delete.","Please select document requests to delete."
"Please select document requests.","Please select document requests."
"Request Code","Request Code"
"Request Unique Code on the BotDoc Side","Request Unique Code on the BotDoc Side"
"Reset","Reset"
"Save And Continue Edit","Save And Continue Edit"
"Save Document Request","Save Document Request"
"Status","Status"
"Store views","Store views"
"The document requests has been deleted.","The document requests has been deleted."
"There was a problem saving the document request.","There was a problem saving the document request."
"There was an error deleting document request.","There was an error deleting document request."
"There was an error deleting document requests.","There was an error deleting document requests."
"There was an error updating document requests.","There was an error updating document requests."
"This document request no longer exists.","This document request no longer exists."
"Total of %d document requests were successfully deleted.","Total of %d document requests were successfully deleted."
"Total of %d document requests were successfully updated.","Total of %d document requests were successfully updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Unable to find document request to save.","Unable to find document request to save."
"Updated at","Updated at"
"WYSIWYG Editor","WYSIWYG Editor"
"XML","XML"
"Yes","Yes"